cohort_week,cohort_users,d1_retention,d3_retention,d7_retention
2025-12-29,906,0.16887417218543047,0.13796909492273732,0.12030905077262694
2026-01-05,1517,0.17336849044166117,0.15293342122610415,0.12129202373104812
2026-01-12,1545,0.16375404530744336,0.15728155339805824,0.11262135922330097
2026-01-19,1585,0.17287066246056781,0.13375394321766562,0.1280757097791798
2026-01-26,1604,0.18017456359102244,0.1440149625935162,0.11471321695760599
2026-02-02,1569,0.1822817080943276,0.15232632249840664,0.12810707456978968
2026-02-09,1565,0.1891373801916933,0.1501597444089457,0.13482428115015974
2026-02-16,1540,0.19155844155844157,0.15,0.10844155844155844
2026-02-23,1534,0.18383311603650587,0.1623207301173403,0.10886571056062581
2026-03-02,1641,0.18159658744667886,0.15965874466788543,0.11761121267519806
2026-03-09,1539,0.1695906432748538,0.16569200779727095,0.13125406107862247
2026-03-16,1475,0.17559322033898306,0.13559322033898305,0.10847457627118644
2026-03-23,410,0.15853658536585366,0.16341463414634147,0.11951219512195121
